Hash,Yara_Rule_Name
704d491c155aad996f16377a35732cb4,APT_HiddenCobra_AR18_221A
1c53e7269fe9d84c6df0a25ba59b822c,HiddenCobra_BANKSHOT_Gen
1c53e7269fe9d84c6df0a25ba59b822c,HiddenCobra_FallChill_1
1c53e7269fe9d84c6df0a25ba59b822c,APT_NK_AR18_165A_1
1c53e7269fe9d84c6df0a25ba59b822c,APT_NK_AR18_165A_HiddenCobra_import_deob
1c53e7269fe9d84c6df0a25ba59b822c,
1c53e7269fe9d84c6df0a25ba59b822c,
1c53e7269fe9d84c6df0a25ba59b822c,
ef9db20ab0eebf0b7c55af4ec0b7bced,APT_NK_Lazarus_RC4_Loop
ef9db20ab0eebf0b7c55af4ec0b7bced,APT_Lazarus_Aug18_1
ef9db20ab0eebf0b7c55af4ec0b7bced,APT_FallChill_RC4_Keys
ef9db20ab0eebf0b7c55af4ec0b7bced,NK_Malware_Nov17_1_Gen
ef9db20ab0eebf0b7c55af4ec0b7bced,
77b50bb476a85a7aa30c962a389838aa,Sofacy_Jan18_1_PE_Info_Anomaly
77b50bb476a85a7aa30c962a389838aa,
77b50bb476a85a7aa30c962a389838aa,
77b50bb476a85a7aa30c962a389838aa,
77b50bb476a85a7aa30c962a389838aa,
77b50bb476a85a7aa30c962a389838aa,
3229a6cea658b1b3ca5ca9ad7b40d8d4,DOC_PS_Dropper_Aug2017_1
6ab301fc3296e1ceb140bf5d294894c5,SUSP_XORED_DOS_DefaultStub
6ab301fc3296e1ceb140bf5d294894c5,
10b28da8eefac62ce282154f273b3e34,APT_HiddenCobra_import_obfuscation_2
10b28da8eefac62ce282154f273b3e34,
f5a4235ef02f34d547f71aa5434d9bb4,
f5a4235ef02f34d547f71aa5434d9bb4,
34e56056e5741f33d823859e77235ed9,APT_MAL_NK_Lazarus_Apr20_1
34e56056e5741f33d823859e77235ed9,
34e56056e5741f33d823859e77235ed9,APT_HiddenCobra_GhostSecret_2
34e56056e5741f33d823859e77235ed9,APT_MAL_HOPLIGHT_NK_HiddenCobra_Apr19_3
170a55f7c0448f1741e60b01dcec9cfb,
170a55f7c0448f1741e60b01dcec9cfb,
170a55f7c0448f1741e60b01dcec9cfb,
170a55f7c0448f1741e60b01dcec9cfb,
868036e102df4ce414b0e6700825b319,
07d2b057d2385a4cdf413e8d342305df,
2ff1688fe866ec2871169197f9d46936,
2a791769aa73ac757f210f8546125b57,
2a791769aa73ac757f210f8546125b57,
2a791769aa73ac757f210f8546125b57,
2a791769aa73ac757f210f8546125b57,
e4ed26d5e2a84cc5e48d285e4ea898c0,
f8d26f2b8dd2ac4889597e1f2fd1f248,APT_MAL_HOPLIGHT_NK_HiddenCobra_Apr19_1
e7aa0237fc3db67a96ebd877806a2c88,EXPL_Office_TemplateInjection
6c2d15114ebdd910a336b6b147512a74,APT_MAL_NK_Lazarus_BLINDINGCAN_RAT_Oct22_1
6c2d15114ebdd910a336b6b147512a74,APT_MAL_NK_Lazarus_Indicators_Oct22_3
6c2d15114ebdd910a336b6b147512a74,APT_NK_MAL_Lazarus_May20_2
f241140158f4e7cf0e3d35f8688c89e8,SUSP_Base64_Encoded_Bash_Interactive_Pattern_Mar22_1
f241140158f4e7cf0e3d35f8688c89e8,SUSP_Base64_Decode_Bash_Jan21
25e12c24e678028acafb88017f8c14ea,
25e12c24e678028acafb88017f8c14ea,TA17_318A_success_fail_codes_fallchill
25e12c24e678028acafb88017f8c14ea,APT_Lazarus_Malware_Mar19_1
29e273fcfee8c5a90f4de6214a0fde87,
29e273fcfee8c5a90f4de6214a0fde87,
64b59c0b9ca32d9427619161e3cf8a6c,
64b59c0b9ca32d9427619161e3cf8a6c,APT_Malware_USCERT_10135536_B_2
4b66ddd221cb47869808eb96c0cbadbb,APT_Lazarus_Malware_Jul19_1
7f035be4590a624a9dc816176af942da,
1bad6702b4a40e4e48be86e7d0e8b17b,
0856655351acffa1ee459eeeaf164756,
26520499a3fc627d335e34586e99de7a,APT_NK_MAL_Malware_Unknown_Nov19_2
a21171923ec09b9569f2baad496c9e16,HKTL_getBrowserPWD
a21171923ec09b9569f2baad496c9e16,APT_NK_MAL_Keylogger_Unknown_Nov19_1
83833f8dbdd6ecf3a1212f5d1fc3d9dd,
83833f8dbdd6ecf3a1212f5d1fc3d9dd,
f3fcb306cb93489f999e00a7ef63536b,SUSP_Lazarus_ExeInfoPE_Jun21_1
f3fcb306cb93489f999e00a7ef63536b,APT_MAL_Lazarus_Samples_May21_1
fdc66cdabd46bc3b26aba4e59943726b,
118cfa75e386ed45bec297f8865de671,
0812ce08a75e5fc774a114436e88cd06,MAL_TigerRAT_Dec21_1
0812ce08a75e5fc774a114436e88cd06,
0812ce08a75e5fc774a114436e88cd06,
505262547f8879249794fc31eea41fc6,APT_NK_MAL_Lazarus_TigerRAT_Sep22
505262547f8879249794fc31eea41fc6,
abaeecd83a585ec0c5f1153199938e83,
abaeecd83a585ec0c5f1153199938e83,
abaeecd83a585ec0c5f1153199938e83,
525cc10803d9858fca5dc4010925ba68,
fffad123bd6df76f94ffc9b384a067fc,
6e710f6f02fdde1e4adf06935a296fd8,
6e710f6f02fdde1e4adf06935a296fd8,
eef723ff0b5c0b10d391955250f781b3,
eef723ff0b5c0b10d391955250f781b3,
fc3c31bbdbeee99aba5f7a735fac7a7e,
569246a3325effa11cb8ff362428ab2c,
8ed89d14dee005ea59634aade15dba97,SUSP_MalDoc_Indicator_VBA_Nov20_1
8ed89d14dee005ea59634aade15dba97,APT_MAL_NK_Lazarus_MalDoc_Sep20_1
8ed89d14dee005ea59634aade15dba97,SUSP_OfficeDoc_DropperStrings_Dec18_1
8ed89d14dee005ea59634aade15dba97,APT_MalDoc_SharpShooter_Lazarus_Campaign_Dec18_1
8ed89d14dee005ea59634aade15dba97,SUSP_Word_Doc_Suspicious_Scripting_Content
963e8cfaa40226ba2e5d516464572446,APT_MAL_Lazarus_Cert_Mar21_2
12011c44955fd6631113f68a99447515,SUSP_Adfind_Commands_Oct20
12011c44955fd6631113f68a99447515,SUSP_Win_Adfind_Recon_Oct21_2
12011c44955fd6631113f68a99447515,SUSP_LOG_Adfind_Commands_Oct20
80c0efb9e129f7f9b05a783df6959812,MAL_DaclsRAT_Jan20_1
80c0efb9e129f7f9b05a783df6959812,MAL_PhantomEvasion_LinuxBashDropper
403ad5ef66f3932e548e29e1b6a2cb4f,
f05437d510287448325bac98a1378de1,APT_MAL_macOS_Lazarus_RAT_May20_1
22a968beda8a033eb31ae175b7e0a937,
22a968beda8a033eb31ae175b7e0a937,APT_MAL_MATA_Win_Jul20_1
52b0b06ab4cf6c6b1a13d8eec2705e3b,SUSP_OBFUSC_PS1_LNK_Jun22
52b0b06ab4cf6c6b1a13d8eec2705e3b,MAL_Quantum_Builder_LNK_Jun22
52b0b06ab4cf6c6b1a13d8eec2705e3b,SUSP_LNK_PS1_OBFUSC_Sep22
