MD5,Tactic_ID,Mitre_ID,Tactic,Hash,DATE
704d491c155aad996f16377a35732cb4,TA0007,T1497.001,Discovery,e23900b00ffd67cd8dfa3283d9ced691566df6d63d1d46c95b22569b49011f09,2018-08-09
704d491c155aad996f16377a35732cb4,TA0007,T1057,Discovery,e23900b00ffd67cd8dfa3283d9ced691566df6d63d1d46c95b22569b49011f09,2018-08-09
704d491c155aad996f16377a35732cb4,TA0007,T1016,Discovery,e23900b00ffd67cd8dfa3283d9ced691566df6d63d1d46c95b22569b49011f09,2018-08-09
704d491c155aad996f16377a35732cb4,TA0007,T1083,Discovery,e23900b00ffd67cd8dfa3283d9ced691566df6d63d1d46c95b22569b49011f09,2018-08-09
704d491c155aad996f16377a35732cb4,TA0007,T1082,Discovery,e23900b00ffd67cd8dfa3283d9ced691566df6d63d1d46c95b22569b49011f09,2018-08-09
704d491c155aad996f16377a35732cb4,TA0007,T1518,Discovery,e23900b00ffd67cd8dfa3283d9ced691566df6d63d1d46c95b22569b49011f09,2018-08-09
704d491c155aad996f16377a35732cb4,TA0011,T1071,Command and Control,e23900b00ffd67cd8dfa3283d9ced691566df6d63d1d46c95b22569b49011f09,2018-08-09
704d491c155aad996f16377a35732cb4,TA0011,T1571,Command and Control,e23900b00ffd67cd8dfa3283d9ced691566df6d63d1d46c95b22569b49011f09,2018-08-09
704d491c155aad996f16377a35732cb4,TA0011,T1573,Command and Control,e23900b00ffd67cd8dfa3283d9ced691566df6d63d1d46c95b22569b49011f09,2018-08-09
704d491c155aad996f16377a35732cb4,TA0002,T1129,Execution,e23900b00ffd67cd8dfa3283d9ced691566df6d63d1d46c95b22569b49011f09,2018-08-09
704d491c155aad996f16377a35732cb4,TA0009,T1113,Collection,e23900b00ffd67cd8dfa3283d9ced691566df6d63d1d46c95b22569b49011f09,2018-08-09
704d491c155aad996f16377a35732cb4,TA0005,T1497.001,Discovery,e23900b00ffd67cd8dfa3283d9ced691566df6d63d1d46c95b22569b49011f09,2018-08-09
704d491c155aad996f16377a35732cb4,TA0005,T1027,Defense Evasion,e23900b00ffd67cd8dfa3283d9ced691566df6d63d1d46c95b22569b49011f09,2018-08-09
704d491c155aad996f16377a35732cb4,TA0005,T1070.006,Defense Evasion,e23900b00ffd67cd8dfa3283d9ced691566df6d63d1d46c95b22569b49011f09,2018-08-09
1c53e7269fe9d84c6df0a25ba59b822c,TA0007,T1082,Discovery,201c7cd10a2bd50dde0948d14c3c7a0732955c908a3392aee3d08b94470c9d33,2018-06-14
1c53e7269fe9d84c6df0a25ba59b822c,TA0005,T1218.011,Defense Evasion,201c7cd10a2bd50dde0948d14c3c7a0732955c908a3392aee3d08b94470c9d33,2018-06-14
1c53e7269fe9d84c6df0a25ba59b822c,TA0005,T1027.005,Defense Evasion,201c7cd10a2bd50dde0948d14c3c7a0732955c908a3392aee3d08b94470c9d33,2018-06-14
1c53e7269fe9d84c6df0a25ba59b822c,TA0005,T1027,Defense Evasion,201c7cd10a2bd50dde0948d14c3c7a0732955c908a3392aee3d08b94470c9d33,2018-06-14
1c53e7269fe9d84c6df0a25ba59b822c,TA0005,T1055,Defense Evasion,201c7cd10a2bd50dde0948d14c3c7a0732955c908a3392aee3d08b94470c9d33,2018-06-14
1c53e7269fe9d84c6df0a25ba59b822c,TA0004,T1055,Defense Evasion,201c7cd10a2bd50dde0948d14c3c7a0732955c908a3392aee3d08b94470c9d33,2018-06-14
1c53e7269fe9d84c6df0a25ba59b822c,TA0002,T1129,Execution,201c7cd10a2bd50dde0948d14c3c7a0732955c908a3392aee3d08b94470c9d33,2018-06-14
ef9db20ab0eebf0b7c55af4ec0b7bced,TA0007,T1497,Discovery,20abb95114de946da7595438e9edf0bf39c85ba8512709db7d5532d37d73bd64,2018-06-14
ef9db20ab0eebf0b7c55af4ec0b7bced,TA0007,T1082,Discovery,20abb95114de946da7595438e9edf0bf39c85ba8512709db7d5532d37d73bd64,2018-06-14
